gameId,gameDate,p1_projF5Total,p1_projTotal,ratio_p1,ratio_p2,ratio_p2_minus_p1,outside_engine_bounds
2250353,2026-04-23,7.547,13.84,0.5453,0.5453,0.0,0
2250354,2026-04-23,4.236,7.85,0.53962,0.53962,0.0,0
2250355,2026-04-23,4.455,8.15,0.54663,0.54663,0.0,0
2250356,2026-04-23,4.499,8.36,0.53816,0.53816,0.0,0
2250357,2026-04-23,3.847,7.32,0.52555,0.52555,0.0,0
2250358,2026-04-24,5.089,9.41,0.54081,0.54081,0.0,0
2250359,2026-04-24,5.931,10.94,0.54214,0.54214,0.0,0
2250360,2026-04-24,4.511,8.43,0.53511,0.53511,0.0,0
2250361,2026-04-24,5.447,10.15,0.53665,0.53665,0.0,0
2250362,2026-04-24,4.022,7.62,0.52782,0.52782,0.0,0
2250363,2026-04-24,4.774,8.95,0.53341,0.53341,0.0,0
2250364,2026-04-24,5.253,9.8,0.53602,0.53602,0.0,0
2250365,2026-04-24,4.937,9.28,0.532,0.532,0.0,0
2250366,2026-04-24,3.902,7.36,0.53016,0.53016,0.0,0
2250367,2026-04-24,4.612,8.65,0.53318,0.53318,0.0,0
2250368,2026-04-24,4.748,8.77,0.54139,0.54139,0.0,0
2250369,2026-04-24,4.253,8.0,0.53163,0.53163,0.0,0
2250370,2026-04-24,5.173,9.51,0.54395,0.54395,0.0,0
2250371,2026-04-24,4.301,8.09,0.53164,0.53164,0.0,0
2250372,2026-04-25,3.993,7.53,0.53028,0.53028,0.0,0
2250373,2026-04-25,4.282,8.08,0.52995,0.52995,0.0,0
2250374,2026-04-25,5.708,10.5,0.54362,0.54362,0.0,0
2250375,2026-04-25,4.179,7.93,0.52699,0.52699,0.0,0
2250376,2026-04-26,6.019,11.11,0.54176,0.54176,0.0,0
2250377,2026-04-25,4.467,8.41,0.53115,0.53115,0.0,0
2250378,2026-04-25,4.356,8.25,0.528,0.528,0.0,0
2250379,2026-04-25,3.855,7.3,0.52808,0.52808,0.0,0
2250380,2026-04-25,5.106,9.53,0.53578,0.53578,0.0,0
2250381,2026-04-25,5.26,9.63,0.54621,0.54621,0.0,0
2250382,2026-04-25,4.106,7.73,0.53118,0.53118,0.0,0
2250383,2026-04-25,5.061,9.35,0.54128,0.54128,0.0,0
2250384,2026-04-25,5.156,9.42,0.54735,0.54735,0.0,0
2250385,2026-04-25,4.087,7.71,0.53009,0.53009,0.0,0
2250386,2026-04-26,5.058,9.34,0.54154,0.54154,0.0,0
2250387,2026-04-26,4.786,8.98,0.53296,0.53296,0.0,0
2250388,2026-04-26,4.905,9.18,0.53431,0.53431,0.0,0
2250389,2026-04-26,4.009,7.53,0.5324,0.5324,0.0,0
2250390,2026-04-26,4.823,9.05,0.53293,0.53293,0.0,0
2250391,2026-04-26,5.011,9.4,0.53309,0.53309,0.0,0
2250392,2026-04-26,4.357,8.23,0.5294,0.5294,0.0,0
