gameId,gameDate,p1_pF5AwayMl,p1_pF5AwayRl,p2_pF5AwayRl,implied_tie_raw,implied_away_raw,actualF5Away,actualF5Home,f5_margin_home_minus_away,away_p05_cover,f5_tie,live_awayRl01,live_pred_prefix,live_pred_postfix,live_class,live_understatement_vs_postfix
2250164,2026-04-08,0.3924,0.5553,0.5553,0.1657,0.3896,0.0,3.0,3.0,0,0,0.5434,0.54387,0.61346,prefix,0.07006
2250165,2026-04-08,0.4575,0.6308,0.6308,0.17967,0.45113,2.0,3.0,1.0,0,0,0.6032,0.60303,0.67092,prefix,0.06772
2250166,2026-04-08,0.47,0.6746,0.6746,0.22097,0.45363,0.0,3.0,3.0,0,0,0.5726,0.57261,0.65586,prefix,0.08326
2250167,2026-04-08,0.4754,0.6329,0.6329,0.15948,0.47342,1.0,1.0,0.0,1,1,0.5652,0.56554,0.63104,prefix,0.06584
2250168,2026-04-08,0.4445,0.5773,0.5773,0.12815,0.44915,1.0,7.0,6.0,0,0,0.5349,0.53571,0.59658,prefix,0.06168
2250169,2026-04-08,0.3999,0.5733,0.5733,0.1788,0.3945,0.0,0.0,0.0,1,1,0.495,0.49573,0.5862,prefix,0.0912
2250170,2026-04-08,0.5016,0.655,0.655,0.15424,0.50076,3.0,1.0,-2.0,1,0,0.5098,0.5097,0.58256,prefix,0.07276
2250171,2026-04-08,0.4349,0.6137,0.6137,0.18627,0.42743,7.0,2.0,-5.0,1,0,0.5169,0.51686,0.59059,prefix,0.07369
2250172,2026-04-08,0.3585,0.5308,0.5308,0.17679,0.35401,6.0,1.0,-5.0,1,0,0.5327,0.53313,0.60539,prefix,0.07269
2250173,2026-04-08,0.438,0.6052,0.6052,0.17157,0.43363,4.0,6.0,2.0,0,0,0.4739,0.47367,0.56351,prefix,0.08961
2250174,2026-04-08,0.382,0.5416,0.5416,0.16157,0.38003,2.0,2.0,0.0,1,1,0.4854,0.48635,0.56319,prefix,0.07779
2250175,2026-04-08,0.4896,0.6481,0.6481,0.16086,0.48724,0.0,7.0,7.0,0,0,0.505,0.50582,0.57906,prefix,0.07406
2250176,2026-04-09,0.5007,0.6681,0.6681,0.17266,0.49544,1.0,4.0,3.0,0,0,0.5261,0.52642,0.60049,prefix,0.07439
